Step,Agent,X,Y,Goal_X,Goal_Y,Obstacles
70,drone_6,15.142,8.643,16.606,8.690,"14.295173819859095,2.6602244321607214,2.143042188104446;4.125242704715834,6.106924339606216,0.38591610280372;7.287555104440743,16.64345715099857,2.1442577322329788;11.950866638966822,17.02493454211152,1.0724392893288095;15.663463902182984,18.663133773989614,1.040254919459484;7.775667597115024,18.053143913103316,0.4826536935677872;8.761990914842677,18.488476364269477,0.8130439772299055;14.032849999670725,16.96236353951148,1.3687027645626493;7.2721915359789,18.29015058014834,0.7422600390805241;11.992446469501335,7.161553274792243,0.4834060550953494;2.6054429062269078,5.938672995559209,0.7968382151413596;2.5039636788854924,13.996453931605016,0.6969293035978101;18.41683827959954,13.316645775780755,0.8386400309889342;16.477718324453765,3.538705552218343,0.45633912336340315;11.996459850411073,15.79712028837175,1.6786241008002374;16.19681537107829,3.965103741312993,1.1226621674305535;12.272076754962523,16.329710383858504,0.48561655907371765;10.118365335034818,10.431130641080282,0.850370820811131;11.65724453508051,17.865282288077413,0.3151159954984736;8.263923086952346,16.2594631258942,1.108153394098645;11.571074284698543,17.647924705975303,1.088789435561261;9.056865083495698,11.067637170931286,2.105119713352845"
70,drone_7,15.286,7.314,16.606,8.690,"14.295173819859095,2.6602244321607214,2.143042188104446;4.125242704715834,6.106924339606216,0.38591610280372;7.287555104440743,16.64345715099857,2.1442577322329788;11.950866638966822,17.02493454211152,1.0724392893288095;15.663463902182984,18.663133773989614,1.040254919459484;7.775667597115024,18.053143913103316,0.4826536935677872;8.761990914842677,18.488476364269477,0.8130439772299055;14.032849999670725,16.96236353951148,1.3687027645626493;7.2721915359789,18.29015058014834,0.7422600390805241;11.992446469501335,7.161553274792243,0.4834060550953494;2.6054429062269078,5.938672995559209,0.7968382151413596;2.5039636788854924,13.996453931605016,0.6969293035978101;18.41683827959954,13.316645775780755,0.8386400309889342;16.477718324453765,3.538705552218343,0.45633912336340315;11.996459850411073,15.79712028837175,1.6786241008002374;16.19681537107829,3.965103741312993,1.1226621674305535;12.272076754962523,16.329710383858504,0.48561655907371765;10.118365335034818,10.431130641080282,0.850370820811131;11.65724453508051,17.865282288077413,0.3151159954984736;8.263923086952346,16.2594631258942,1.108153394098645;11.571074284698543,17.647924705975303,1.088789435561261;9.056865083495698,11.067637170931286,2.105119713352845"
70,drone_8,15.227,7.931,16.606,8.690,"14.295173819859095,2.6602244321607214,2.143042188104446;4.125242704715834,6.106924339606216,0.38591610280372;7.287555104440743,16.64345715099857,2.1442577322329788;11.950866638966822,17.02493454211152,1.0724392893288095;15.663463902182984,18.663133773989614,1.040254919459484;7.775667597115024,18.053143913103316,0.4826536935677872;8.761990914842677,18.488476364269477,0.8130439772299055;14.032849999670725,16.96236353951148,1.3687027645626493;7.2721915359789,18.29015058014834,0.7422600390805241;11.992446469501335,7.161553274792243,0.4834060550953494;2.6054429062269078,5.938672995559209,0.7968382151413596;2.5039636788854924,13.996453931605016,0.6969293035978101;18.41683827959954,13.316645775780755,0.8386400309889342;16.477718324453765,3.538705552218343,0.45633912336340315;11.996459850411073,15.79712028837175,1.6786241008002374;16.19681537107829,3.965103741312993,1.1226621674305535;12.272076754962523,16.329710383858504,0.48561655907371765;10.118365335034818,10.431130641080282,0.850370820811131;11.65724453508051,17.865282288077413,0.3151159954984736;8.263923086952346,16.2594631258942,1.108153394098645;11.571074284698543,17.647924705975303,1.088789435561261;9.056865083495698,11.067637170931286,2.105119713352845"
70,drone_9,14.839,9.110,16.606,8.690,"14.295173819859095,2.6602244321607214,2.143042188104446;4.125242704715834,6.106924339606216,0.38591610280372;7.287555104440743,16.64345715099857,2.1442577322329788;11.950866638966822,17.02493454211152,1.0724392893288095;15.663463902182984,18.663133773989614,1.040254919459484;7.775667597115024,18.053143913103316,0.4826536935677872;8.761990914842677,18.488476364269477,0.8130439772299055;14.032849999670725,16.96236353951148,1.3687027645626493;7.2721915359789,18.29015058014834,0.7422600390805241;11.992446469501335,7.161553274792243,0.4834060550953494;2.6054429062269078,5.938672995559209,0.7968382151413596;2.5039636788854924,13.996453931605016,0.6969293035978101;18.41683827959954,13.316645775780755,0.8386400309889342;16.477718324453765,3.538705552218343,0.45633912336340315;11.996459850411073,15.79712028837175,1.6786241008002374;16.19681537107829,3.965103741312993,1.1226621674305535;12.272076754962523,16.329710383858504,0.48561655907371765;10.118365335034818,10.431130641080282,0.850370820811131;11.65724453508051,17.865282288077413,0.3151159954984736;8.263923086952346,16.2594631258942,1.108153394098645;11.571074284698543,17.647924705975303,1.088789435561261;9.056865083495698,11.067637170931286,2.105119713352845"
71,drone_5,15.150,9.543,16.606,8.690,"14.295173819859095,2.6602244321607214,2.143042188104446;4.125242704715834,6.106924339606216,0.38591610280372;7.287555104440743,16.64345715099857,2.1442577322329788;11.950866638966822,17.02493454211152,1.0724392893288095;15.663463902182984,18.663133773989614,1.040254919459484;7.775667597115024,18.053143913103316,0.4826536935677872;8.761990914842677,18.488476364269477,0.8130439772299055;14.032849999670725,16.96236353951148,1.3687027645626493;7.2721915359789,18.29015058014834,0.7422600390805241;11.992446469501335,7.161553274792243,0.4834060550953494;2.6054429062269078,5.938672995559209,0.7968382151413596;2.5039636788854924,13.996453931605016,0.6969293035978101;18.41683827959954,13.316645775780755,0.8386400309889342;16.477718324453765,3.538705552218343,0.45633912336340315;11.996459850411073,15.79712028837175,1.6786241008002374;16.19681537107829,3.965103741312993,1.1226621674305535;12.272076754962523,16.329710383858504,0.48561655907371765;10.118365335034818,10.431130641080282,0.850370820811131;11.65724453508051,17.865282288077413,0.3151159954984736;8.263923086952346,16.2594631258942,1.108153394098645;11.571074284698543,17.647924705975303,1.088789435561261;9.056865083495698,11.067637170931286,2.105119713352845"
71,drone_6,15.246,8.716,16.606,8.690,"14.295173819859095,2.6602244321607214,2.143042188104446;4.125242704715834,6.106924339606216,0.38591610280372;7.287555104440743,16.64345715099857,2.1442577322329788;11.950866638966822,17.02493454211152,1.0724392893288095;15.663463902182984,18.663133773989614,1.040254919459484;7.775667597115024,18.053143913103316,0.4826536935677872;8.761990914842677,18.488476364269477,0.8130439772299055;14.032849999670725,16.96236353951148,1.3687027645626493;7.2721915359789,18.29015058014834,0.7422600390805241;11.992446469501335,7.161553274792243,0.4834060550953494;2.6054429062269078,5.938672995559209,0.7968382151413596;2.5039636788854924,13.996453931605016,0.6969293035978101;18.41683827959954,13.316645775780755,0.8386400309889342;16.477718324453765,3.538705552218343,0.45633912336340315;11.996459850411073,15.79712028837175,1.6786241008002374;16.19681537107829,3.965103741312993,1.1226621674305535;12.272076754962523,16.329710383858504,0.48561655907371765;10.118365335034818,10.431130641080282,0.850370820811131;11.65724453508051,17.865282288077413,0.3151159954984736;8.263923086952346,16.2594631258942,1.108153394098645;11.571074284698543,17.647924705975303,1.088789435561261;9.056865083495698,11.067637170931286,2.105119713352845"
71,drone_7,15.430,7.408,16.606,8.690,"14.295173819859095,2.6602244321607214,2.143042188104446;4.125242704715834,6.106924339606216,0.38591610280372;7.287555104440743,16.64345715099857,2.1442577322329788;11.950866638966822,17.02493454211152,1.0724392893288095;15.663463902182984,18.663133773989614,1.040254919459484;7.775667597115024,18.053143913103316,0.4826536935677872;8.761990914842677,18.488476364269477,0.8130439772299055;14.032849999670725,16.96236353951148,1.3687027645626493;7.2721915359789,18.29015058014834,0.7422600390805241;11.992446469501335,7.161553274792243,0.4834060550953494;2.6054429062269078,5.938672995559209,0.7968382151413596;2.5039636788854924,13.996453931605016,0.6969293035978101;18.41683827959954,13.316645775780755,0.8386400309889342;16.477718324453765,3.538705552218343,0.45633912336340315;11.996459850411073,15.79712028837175,1.6786241008002374;16.19681537107829,3.965103741312993,1.1226621674305535;12.272076754962523,16.329710383858504,0.48561655907371765;10.118365335034818,10.431130641080282,0.850370820811131;11.65724453508051,17.865282288077413,0.3151159954984736;8.263923086952346,16.2594631258942,1.108153394098645;11.571074284698543,17.647924705975303,1.088789435561261;9.056865083495698,11.067637170931286,2.105119713352845"
71,drone_8,15.332,8.036,16.606,8.690,"14.295173819859095,2.6602244321607214,2.143042188104446;4.125242704715834,6.106924339606216,0.38591610280372;7.287555104440743,16.64345715099857,2.1442577322329788;11.950866638966822,17.02493454211152,1.0724392893288095;15.663463902182984,18.663133773989614,1.040254919459484;7.775667597115024,18.053143913103316,0.4826536935677872;8.761990914842677,18.488476364269477,0.8130439772299055;14.032849999670725,16.96236353951148,1.3687027645626493;7.2721915359789,18.29015058014834,0.7422600390805241;11.992446469501335,7.161553274792243,0.4834060550953494;2.6054429062269078,5.938672995559209,0.7968382151413596;2.5039636788854924,13.996453931605016,0.6969293035978101;18.41683827959954,13.316645775780755,0.8386400309889342;16.477718324453765,3.538705552218343,0.45633912336340315;11.996459850411073,15.79712028837175,1.6786241008002374;16.19681537107829,3.965103741312993,1.1226621674305535;12.272076754962523,16.329710383858504,0.48561655907371765;10.118365335034818,10.431130641080282,0.850370820811131;11.65724453508051,17.865282288077413,0.3151159954984736;8.263923086952346,16.2594631258942,1.108153394098645;11.571074284698543,17.647924705975303,1.088789435561261;9.056865083495698,11.067637170931286,2.105119713352845"
71,drone_9,14.986,9.097,16.606,8.690,"14.295173819859095,2.6602244321607214,2.143042188104446;4.125242704715834,6.106924339606216,0.38591610280372;7.287555104440743,16.64345715099857,2.1442577322329788;11.950866638966822,17.02493454211152,1.0724392893288095;15.663463902182984,18.663133773989614,1.040254919459484;7.775667597115024,18.053143913103316,0.4826536935677872;8.761990914842677,18.488476364269477,0.8130439772299055;14.032849999670725,16.96236353951148,1.3687027645626493;7.2721915359789,18.29015058014834,0.7422600390805241;11.992446469501335,7.161553274792243,0.4834060550953494;2.6054429062269078,5.938672995559209,0.7968382151413596;2.5039636788854924,13.996453931605016,0.6969293035978101;18.41683827959954,13.316645775780755,0.8386400309889342;16.477718324453765,3.538705552218343,0.45633912336340315;11.996459850411073,15.79712028837175,1.6786241008002374;16.19681537107829,3.965103741312993,1.1226621674305535;12.272076754962523,16.329710383858504,0.48561655907371765;10.118365335034818,10.431130641080282,0.850370820811131;11.65724453508051,17.865282288077413,0.3151159954984736;8.263923086952346,16.2594631258942,1.108153394098645;11.571074284698543,17.647924705975303,1.088789435561261;9.056865083495698,11.067637170931286,2.105119713352845"
72,drone_5,15.291,9.498,16.606,8.690,"14.295173819859095,2.6602244321607214,2.143042188104446;4.125242704715834,6.106924339606216,0.38591610280372;7.287555104440743,16.64345715099857,2.1442577322329788;11.950866638966822,17.02493454211152,1.0724392893288095;15.663463902182984,18.663133773989614,1.040254919459484;7.775667597115024,18.053143913103316,0.4826536935677872;8.761990914842677,18.488476364269477,0.8130439772299055;14.032849999670725,16.96236353951148,1.3687027645626493;7.2721915359789,18.29015058014834,0.7422600390805241;11.992446469501335,7.161553274792243,0.4834060550953494;2.6054429062269078,5.938672995559209,0.7968382151413596;2.5039636788854924,13.996453931605016,0.6969293035978101;18.41683827959954,13.316645775780755,0.8386400309889342;16.477718324453765,3.538705552218343,0.45633912336340315;11.996459850411073,15.79712028837175,1.6786241008002374;16.19681537107829,3.965103741312993,1.1226621674305535;12.272076754962523,16.329710383858504,0.48561655907371765;10.118365335034818,10.431130641080282,0.850370820811131;11.65724453508051,17.865282288077413,0.3151159954984736;8.263923086952346,16.2594631258942,1.108153394098645;11.571074284698543,17.647924705975303,1.088789435561261;9.056865083495698,11.067637170931286,2.105119713352845"
72,drone_6,15.373,8.700,16.606,8.690,"14.295173819859095,2.6602244321607214,2.143042188104446;4.125242704715834,6.106924339606216,0.38591610280372;7.287555104440743,16.64345715099857,2.1442577322329788;11.950866638966822,17.02493454211152,1.0724392893288095;15.663463902182984,18.663133773989614,1.040254919459484;7.775667597115024,18.053143913103316,0.4826536935677872;8.761990914842677,18.488476364269477,0.8130439772299055;14.032849999670725,16.96236353951148,1.3687027645626493;7.2721915359789,18.29015058014834,0.7422600390805241;11.992446469501335,7.161553274792243,0.4834060550953494;2.6054429062269078,5.938672995559209,0.7968382151413596;2.5039636788854924,13.996453931605016,0.6969293035978101;18.41683827959954,13.316645775780755,0.8386400309889342;16.477718324453765,3.538705552218343,0.45633912336340315;11.996459850411073,15.79712028837175,1.6786241008002374;16.19681537107829,3.965103741312993,1.1226621674305535;12.272076754962523,16.329710383858504,0.48561655907371765;10.118365335034818,10.431130641080282,0.850370820811131;11.65724453508051,17.865282288077413,0.3151159954984736;8.263923086952346,16.2594631258942,1.108153394098645;11.571074284698543,17.647924705975303,1.088789435561261;9.056865083495698,11.067637170931286,2.105119713352845"
72,drone_7,15.565,7.515,16.606,8.690,"14.295173819859095,2.6602244321607214,2.143042188104446;4.125242704715834,6.106924339606216,0.38591610280372;7.287555104440743,16.64345715099857,2.1442577322329788;11.950866638966822,17.02493454211152,1.0724392893288095;15.663463902182984,18.663133773989614,1.040254919459484;7.775667597115024,18.053143913103316,0.4826536935677872;8.761990914842677,18.488476364269477,0.8130439772299055;14.032849999670725,16.96236353951148,1.3687027645626493;7.2721915359789,18.29015058014834,0.7422600390805241;11.992446469501335,7.161553274792243,0.4834060550953494;2.6054429062269078,5.938672995559209,0.7968382151413596;2.5039636788854924,13.996453931605016,0.6969293035978101;18.41683827959954,13.316645775780755,0.8386400309889342;16.477718324453765,3.538705552218343,0.45633912336340315;11.996459850411073,15.79712028837175,1.6786241008002374;16.19681537107829,3.965103741312993,1.1226621674305535;12.272076754962523,16.329710383858504,0.48561655907371765;10.118365335034818,10.431130641080282,0.850370820811131;11.65724453508051,17.865282288077413,0.3151159954984736;8.263923086952346,16.2594631258942,1.108153394098645;11.571074284698543,17.647924705975303,1.088789435561261;9.056865083495698,11.067637170931286,2.105119713352845"
