Step,Agent,X,Y,Goal_X,Goal_Y,Obstacles
651,drone_2,13.553,14.963,12.338,8.554,"12.907261040556818,18.345125861204405,1.2717980445503838;2.1921158392995697,11.373096562006845,0.38286327654344066;12.666389983883018,14.405448559053243,0.3802975048741948;8.762748433184155,2.4316713799316294,1.6814254632480825;7.7350185557219895,17.375000755472243,2.0761633004954834;3.8464178592348066,6.957095571941336,0.757481131585024;15.64593444635743,16.572017753991375,1.2297973307146586;11.651275939088636,17.844440041689804,0.3700655486967839;17.70132036656492,16.991920838889236,0.40523944821535973;14.149753326662386,12.934792953283235,1.2634361448778493;3.862908628189415,7.954590919266637,1.663155972210965;12.286258711710712,3.1848248030206703,0.37728977015451864;6.534718625815179,17.77201409671993,0.7650198484296227;4.361162638542867,5.4778297835554985,1.750746536235479;11.416015959595516,2.0235552908195107,1.290602295878489;12.840519912095962,12.04787329621797,1.195378317284704;19.042940446006078,13.515181183387611,0.8688534280421643;12.111167186359783,16.057561340272354,1.0619821173177555;3.9332772008486487,7.042081811838431,0.3636078687517714;15.474020649584059,12.71530009630096,2.4412665878045683;13.741570567498403,0.43581990988880803,0.31342435861447254;16.479608010581543,9.10402436017297,1.2840327824623958"
651,drone_5,17.701,14.610,12.338,8.554,"12.907261040556818,18.345125861204405,1.2717980445503838;2.1921158392995697,11.373096562006845,0.38286327654344066;12.666389983883018,14.405448559053243,0.3802975048741948;8.762748433184155,2.4316713799316294,1.6814254632480825;7.7350185557219895,17.375000755472243,2.0761633004954834;3.8464178592348066,6.957095571941336,0.757481131585024;15.64593444635743,16.572017753991375,1.2297973307146586;11.651275939088636,17.844440041689804,0.3700655486967839;17.70132036656492,16.991920838889236,0.40523944821535973;14.149753326662386,12.934792953283235,1.2634361448778493;3.862908628189415,7.954590919266637,1.663155972210965;12.286258711710712,3.1848248030206703,0.37728977015451864;6.534718625815179,17.77201409671993,0.7650198484296227;4.361162638542867,5.4778297835554985,1.750746536235479;11.416015959595516,2.0235552908195107,1.290602295878489;12.840519912095962,12.04787329621797,1.195378317284704;19.042940446006078,13.515181183387611,0.8688534280421643;12.111167186359783,16.057561340272354,1.0619821173177555;3.9332772008486487,7.042081811838431,0.3636078687517714;15.474020649584059,12.71530009630096,2.4412665878045683;13.741570567498403,0.43581990988880803,0.31342435861447254;16.479608010581543,9.10402436017297,1.2840327824623958"
652,drone_2,13.588,14.912,12.338,8.554,"12.907261040556818,18.345125861204405,1.2717980445503838;2.1921158392995697,11.373096562006845,0.38286327654344066;12.666389983883018,14.405448559053243,0.3802975048741948;8.762748433184155,2.4316713799316294,1.6814254632480825;7.7350185557219895,17.375000755472243,2.0761633004954834;3.8464178592348066,6.957095571941336,0.757481131585024;15.64593444635743,16.572017753991375,1.2297973307146586;11.651275939088636,17.844440041689804,0.3700655486967839;17.70132036656492,16.991920838889236,0.40523944821535973;14.149753326662386,12.934792953283235,1.2634361448778493;3.862908628189415,7.954590919266637,1.663155972210965;12.286258711710712,3.1848248030206703,0.37728977015451864;6.534718625815179,17.77201409671993,0.7650198484296227;4.361162638542867,5.4778297835554985,1.750746536235479;11.416015959595516,2.0235552908195107,1.290602295878489;12.840519912095962,12.04787329621797,1.195378317284704;19.042940446006078,13.515181183387611,0.8688534280421643;12.111167186359783,16.057561340272354,1.0619821173177555;3.9332772008486487,7.042081811838431,0.3636078687517714;15.474020649584059,12.71530009630096,2.4412665878045683;13.741570567498403,0.43581990988880803,0.31342435861447254;16.479608010581543,9.10402436017297,1.2840327824623958"
652,drone_5,17.749,14.725,12.338,8.554,"12.907261040556818,18.345125861204405,1.2717980445503838;2.1921158392995697,11.373096562006845,0.38286327654344066;12.666389983883018,14.405448559053243,0.3802975048741948;8.762748433184155,2.4316713799316294,1.6814254632480825;7.7350185557219895,17.375000755472243,2.0761633004954834;3.8464178592348066,6.957095571941336,0.757481131585024;15.64593444635743,16.572017753991375,1.2297973307146586;11.651275939088636,17.844440041689804,0.3700655486967839;17.70132036656492,16.991920838889236,0.40523944821535973;14.149753326662386,12.934792953283235,1.2634361448778493;3.862908628189415,7.954590919266637,1.663155972210965;12.286258711710712,3.1848248030206703,0.37728977015451864;6.534718625815179,17.77201409671993,0.7650198484296227;4.361162638542867,5.4778297835554985,1.750746536235479;11.416015959595516,2.0235552908195107,1.290602295878489;12.840519912095962,12.04787329621797,1.195378317284704;19.042940446006078,13.515181183387611,0.8688534280421643;12.111167186359783,16.057561340272354,1.0619821173177555;3.9332772008486487,7.042081811838431,0.3636078687517714;15.474020649584059,12.71530009630096,2.4412665878045683;13.741570567498403,0.43581990988880803,0.31342435861447254;16.479608010581543,9.10402436017297,1.2840327824623958"
653,drone_2,13.522,14.962,12.338,8.554,"12.907261040556818,18.345125861204405,1.2717980445503838;2.1921158392995697,11.373096562006845,0.38286327654344066;12.666389983883018,14.405448559053243,0.3802975048741948;8.762748433184155,2.4316713799316294,1.6814254632480825;7.7350185557219895,17.375000755472243,2.0761633004954834;3.8464178592348066,6.957095571941336,0.757481131585024;15.64593444635743,16.572017753991375,1.2297973307146586;11.651275939088636,17.844440041689804,0.3700655486967839;17.70132036656492,16.991920838889236,0.40523944821535973;14.149753326662386,12.934792953283235,1.2634361448778493;3.862908628189415,7.954590919266637,1.663155972210965;12.286258711710712,3.1848248030206703,0.37728977015451864;6.534718625815179,17.77201409671993,0.7650198484296227;4.361162638542867,5.4778297835554985,1.750746536235479;11.416015959595516,2.0235552908195107,1.290602295878489;12.840519912095962,12.04787329621797,1.195378317284704;19.042940446006078,13.515181183387611,0.8688534280421643;12.111167186359783,16.057561340272354,1.0619821173177555;3.9332772008486487,7.042081811838431,0.3636078687517714;15.474020649584059,12.71530009630096,2.4412665878045683;13.741570567498403,0.43581990988880803,0.31342435861447254;16.479608010581543,9.10402436017297,1.2840327824623958"
653,drone_5,17.897,14.740,12.338,8.554,"12.907261040556818,18.345125861204405,1.2717980445503838;2.1921158392995697,11.373096562006845,0.38286327654344066;12.666389983883018,14.405448559053243,0.3802975048741948;8.762748433184155,2.4316713799316294,1.6814254632480825;7.7350185557219895,17.375000755472243,2.0761633004954834;3.8464178592348066,6.957095571941336,0.757481131585024;15.64593444635743,16.572017753991375,1.2297973307146586;11.651275939088636,17.844440041689804,0.3700655486967839;17.70132036656492,16.991920838889236,0.40523944821535973;14.149753326662386,12.934792953283235,1.2634361448778493;3.862908628189415,7.954590919266637,1.663155972210965;12.286258711710712,3.1848248030206703,0.37728977015451864;6.534718625815179,17.77201409671993,0.7650198484296227;4.361162638542867,5.4778297835554985,1.750746536235479;11.416015959595516,2.0235552908195107,1.290602295878489;12.840519912095962,12.04787329621797,1.195378317284704;19.042940446006078,13.515181183387611,0.8688534280421643;12.111167186359783,16.057561340272354,1.0619821173177555;3.9332772008486487,7.042081811838431,0.3636078687517714;15.474020649584059,12.71530009630096,2.4412665878045683;13.741570567498403,0.43581990988880803,0.31342435861447254;16.479608010581543,9.10402436017297,1.2840327824623958"
654,drone_2,13.557,14.911,12.338,8.554,"12.907261040556818,18.345125861204405,1.2717980445503838;2.1921158392995697,11.373096562006845,0.38286327654344066;12.666389983883018,14.405448559053243,0.3802975048741948;8.762748433184155,2.4316713799316294,1.6814254632480825;7.7350185557219895,17.375000755472243,2.0761633004954834;3.8464178592348066,6.957095571941336,0.757481131585024;15.64593444635743,16.572017753991375,1.2297973307146586;11.651275939088636,17.844440041689804,0.3700655486967839;17.70132036656492,16.991920838889236,0.40523944821535973;14.149753326662386,12.934792953283235,1.2634361448778493;3.862908628189415,7.954590919266637,1.663155972210965;12.286258711710712,3.1848248030206703,0.37728977015451864;6.534718625815179,17.77201409671993,0.7650198484296227;4.361162638542867,5.4778297835554985,1.750746536235479;11.416015959595516,2.0235552908195107,1.290602295878489;12.840519912095962,12.04787329621797,1.195378317284704;19.042940446006078,13.515181183387611,0.8688534280421643;12.111167186359783,16.057561340272354,1.0619821173177555;3.9332772008486487,7.042081811838431,0.3636078687517714;15.474020649584059,12.71530009630096,2.4412665878045683;13.741570567498403,0.43581990988880803,0.31342435861447254;16.479608010581543,9.10402436017297,1.2840327824623958"
654,drone_5,17.945,14.655,12.338,8.554,"12.907261040556818,18.345125861204405,1.2717980445503838;2.1921158392995697,11.373096562006845,0.38286327654344066;12.666389983883018,14.405448559053243,0.3802975048741948;8.762748433184155,2.4316713799316294,1.6814254632480825;7.7350185557219895,17.375000755472243,2.0761633004954834;3.8464178592348066,6.957095571941336,0.757481131585024;15.64593444635743,16.572017753991375,1.2297973307146586;11.651275939088636,17.844440041689804,0.3700655486967839;17.70132036656492,16.991920838889236,0.40523944821535973;14.149753326662386,12.934792953283235,1.2634361448778493;3.862908628189415,7.954590919266637,1.663155972210965;12.286258711710712,3.1848248030206703,0.37728977015451864;6.534718625815179,17.77201409671993,0.7650198484296227;4.361162638542867,5.4778297835554985,1.750746536235479;11.416015959595516,2.0235552908195107,1.290602295878489;12.840519912095962,12.04787329621797,1.195378317284704;19.042940446006078,13.515181183387611,0.8688534280421643;12.111167186359783,16.057561340272354,1.0619821173177555;3.9332772008486487,7.042081811838431,0.3636078687517714;15.474020649584059,12.71530009630096,2.4412665878045683;13.741570567498403,0.43581990988880803,0.31342435861447254;16.479608010581543,9.10402436017297,1.2840327824623958"
655,drone_2,13.492,14.960,12.338,8.554,"12.907261040556818,18.345125861204405,1.2717980445503838;2.1921158392995697,11.373096562006845,0.38286327654344066;12.666389983883018,14.405448559053243,0.3802975048741948;8.762748433184155,2.4316713799316294,1.6814254632480825;7.7350185557219895,17.375000755472243,2.0761633004954834;3.8464178592348066,6.957095571941336,0.757481131585024;15.64593444635743,16.572017753991375,1.2297973307146586;11.651275939088636,17.844440041689804,0.3700655486967839;17.70132036656492,16.991920838889236,0.40523944821535973;14.149753326662386,12.934792953283235,1.2634361448778493;3.862908628189415,7.954590919266637,1.663155972210965;12.286258711710712,3.1848248030206703,0.37728977015451864;6.534718625815179,17.77201409671993,0.7650198484296227;4.361162638542867,5.4778297835554985,1.750746536235479;11.416015959595516,2.0235552908195107,1.290602295878489;12.840519912095962,12.04787329621797,1.195378317284704;19.042940446006078,13.515181183387611,0.8688534280421643;12.111167186359783,16.057561340272354,1.0619821173177555;3.9332772008486487,7.042081811838431,0.3636078687517714;15.474020649584059,12.71530009630096,2.4412665878045683;13.741570567498403,0.43581990988880803,0.31342435861447254;16.479608010581543,9.10402436017297,1.2840327824623958"
655,drone_5,17.893,14.470,12.338,8.554,"12.907261040556818,18.345125861204405,1.2717980445503838;2.1921158392995697,11.373096562006845,0.38286327654344066;12.666389983883018,14.405448559053243,0.3802975048741948;8.762748433184155,2.4316713799316294,1.6814254632480825;7.7350185557219895,17.375000755472243,2.0761633004954834;3.8464178592348066,6.957095571941336,0.757481131585024;15.64593444635743,16.572017753991375,1.2297973307146586;11.651275939088636,17.844440041689804,0.3700655486967839;17.70132036656492,16.991920838889236,0.40523944821535973;14.149753326662386,12.934792953283235,1.2634361448778493;3.862908628189415,7.954590919266637,1.663155972210965;12.286258711710712,3.1848248030206703,0.37728977015451864;6.534718625815179,17.77201409671993,0.7650198484296227;4.361162638542867,5.4778297835554985,1.750746536235479;11.416015959595516,2.0235552908195107,1.290602295878489;12.840519912095962,12.04787329621797,1.195378317284704;19.042940446006078,13.515181183387611,0.8688534280421643;12.111167186359783,16.057561340272354,1.0619821173177555;3.9332772008486487,7.042081811838431,0.3636078687517714;15.474020649584059,12.71530009630096,2.4412665878045683;13.741570567498403,0.43581990988880803,0.31342435861447254;16.479608010581543,9.10402436017297,1.2840327824623958"
656,drone_2,13.527,14.910,12.338,8.554,"12.907261040556818,18.345125861204405,1.2717980445503838;2.1921158392995697,11.373096562006845,0.38286327654344066;12.666389983883018,14.405448559053243,0.3802975048741948;8.762748433184155,2.4316713799316294,1.6814254632480825;7.7350185557219895,17.375000755472243,2.0761633004954834;3.8464178592348066,6.957095571941336,0.757481131585024;15.64593444635743,16.572017753991375,1.2297973307146586;11.651275939088636,17.844440041689804,0.3700655486967839;17.70132036656492,16.991920838889236,0.40523944821535973;14.149753326662386,12.934792953283235,1.2634361448778493;3.862908628189415,7.954590919266637,1.663155972210965;12.286258711710712,3.1848248030206703,0.37728977015451864;6.534718625815179,17.77201409671993,0.7650198484296227;4.361162638542867,5.4778297835554985,1.750746536235479;11.416015959595516,2.0235552908195107,1.290602295878489;12.840519912095962,12.04787329621797,1.195378317284704;19.042940446006078,13.515181183387611,0.8688534280421643;12.111167186359783,16.057561340272354,1.0619821173177555;3.9332772008486487,7.042081811838431,0.3636078687517714;15.474020649584059,12.71530009630096,2.4412665878045683;13.741570567498403,0.43581990988880803,0.31342435861447254;16.479608010581543,9.10402436017297,1.2840327824623958"
656,drone_5,17.741,14.384,12.338,8.554,"12.907261040556818,18.345125861204405,1.2717980445503838;2.1921158392995697,11.373096562006845,0.38286327654344066;12.666389983883018,14.405448559053243,0.3802975048741948;8.762748433184155,2.4316713799316294,1.6814254632480825;7.7350185557219895,17.375000755472243,2.0761633004954834;3.8464178592348066,6.957095571941336,0.757481131585024;15.64593444635743,16.572017753991375,1.2297973307146586;11.651275939088636,17.844440041689804,0.3700655486967839;17.70132036656492,16.991920838889236,0.40523944821535973;14.149753326662386,12.934792953283235,1.2634361448778493;3.862908628189415,7.954590919266637,1.663155972210965;12.286258711710712,3.1848248030206703,0.37728977015451864;6.534718625815179,17.77201409671993,0.7650198484296227;4.361162638542867,5.4778297835554985,1.750746536235479;11.416015959595516,2.0235552908195107,1.290602295878489;12.840519912095962,12.04787329621797,1.195378317284704;19.042940446006078,13.515181183387611,0.8688534280421643;12.111167186359783,16.057561340272354,1.0619821173177555;3.9332772008486487,7.042081811838431,0.3636078687517714;15.474020649584059,12.71530009630096,2.4412665878045683;13.741570567498403,0.43581990988880803,0.31342435861447254;16.479608010581543,9.10402436017297,1.2840327824623958"
