Step,Agent,X,Y,Goal_X,Goal_Y,Obstacles
53,drone_1,10.405,11.439,11.663,16.406,"15.010979901544484,17.461129148165714,0.7491346995294819;5.792148741403081,12.42512912225256,0.8263130464993873;11.353639685586343,10.994866109507027,0.27394668864733823;15.26600371321053,13.070601205761603,0.6778913914890369;3.0892258855312065,11.870930218034259,1.5936467804569117;14.30804713096986,11.97156670549289,0.6581756648309102;4.230849351789002,18.012786827873512,0.9822654498302802;9.152640480765337,3.1027442015302236,0.4830494154601048;5.440691434992257,14.439795011251816,0.2612751179809281;9.573743109627967,7.918749967450869,0.7084674487850532;4.446839071757499,10.159128983203274,2.0871317889370333;4.754392399601531,12.97807902225315,0.37826988124536665;13.600732840240074,18.172677083983082,0.4807531509510845;9.080124258378005,11.46473292302384,0.42628373864902386;8.519516195046258,1.2142139382727715,1.192623613753864;18.353617304799315,1.3886149115227426,0.6733696582930886;14.495509093721447,3.4288426969926187,0.3923541666684334;2.4074214808846945,1.8911243549028731,0.3327243807764811;6.672544227426243,9.078853853714781,1.294971729655987;8.458713444401518,2.4429469226473888,1.8624263009847906;14.416606201331474,11.223249102929739,1.711523835886382;5.864307149072975,11.756835831982963,1.224636822866291;9.546735832605755,7.787409024670817,2.1149883297296883"
53,drone_2,15.292,15.444,11.663,16.406,"15.010979901544484,17.461129148165714,0.7491346995294819;5.792148741403081,12.42512912225256,0.8263130464993873;11.353639685586343,10.994866109507027,0.27394668864733823;15.26600371321053,13.070601205761603,0.6778913914890369;3.0892258855312065,11.870930218034259,1.5936467804569117;14.30804713096986,11.97156670549289,0.6581756648309102;4.230849351789002,18.012786827873512,0.9822654498302802;9.152640480765337,3.1027442015302236,0.4830494154601048;5.440691434992257,14.439795011251816,0.2612751179809281;9.573743109627967,7.918749967450869,0.7084674487850532;4.446839071757499,10.159128983203274,2.0871317889370333;4.754392399601531,12.97807902225315,0.37826988124536665;13.600732840240074,18.172677083983082,0.4807531509510845;9.080124258378005,11.46473292302384,0.42628373864902386;8.519516195046258,1.2142139382727715,1.192623613753864;18.353617304799315,1.3886149115227426,0.6733696582930886;14.495509093721447,3.4288426969926187,0.3923541666684334;2.4074214808846945,1.8911243549028731,0.3327243807764811;6.672544227426243,9.078853853714781,1.294971729655987;8.458713444401518,2.4429469226473888,1.8624263009847906;14.416606201331474,11.223249102929739,1.711523835886382;5.864307149072975,11.756835831982963,1.224636822866291;9.546735832605755,7.787409024670817,2.1149883297296883"
53,drone_3,11.915,10.519,11.663,16.406,"15.010979901544484,17.461129148165714,0.7491346995294819;5.792148741403081,12.42512912225256,0.8263130464993873;11.353639685586343,10.994866109507027,0.27394668864733823;15.26600371321053,13.070601205761603,0.6778913914890369;3.0892258855312065,11.870930218034259,1.5936467804569117;14.30804713096986,11.97156670549289,0.6581756648309102;4.230849351789002,18.012786827873512,0.9822654498302802;9.152640480765337,3.1027442015302236,0.4830494154601048;5.440691434992257,14.439795011251816,0.2612751179809281;9.573743109627967,7.918749967450869,0.7084674487850532;4.446839071757499,10.159128983203274,2.0871317889370333;4.754392399601531,12.97807902225315,0.37826988124536665;13.600732840240074,18.172677083983082,0.4807531509510845;9.080124258378005,11.46473292302384,0.42628373864902386;8.519516195046258,1.2142139382727715,1.192623613753864;18.353617304799315,1.3886149115227426,0.6733696582930886;14.495509093721447,3.4288426969926187,0.3923541666684334;2.4074214808846945,1.8911243549028731,0.3327243807764811;6.672544227426243,9.078853853714781,1.294971729655987;8.458713444401518,2.4429469226473888,1.8624263009847906;14.416606201331474,11.223249102929739,1.711523835886382;5.864307149072975,11.756835831982963,1.224636822866291;9.546735832605755,7.787409024670817,2.1149883297296883"
53,drone_4,16.347,14.696,11.663,16.406,"15.010979901544484,17.461129148165714,0.7491346995294819;5.792148741403081,12.42512912225256,0.8263130464993873;11.353639685586343,10.994866109507027,0.27394668864733823;15.26600371321053,13.070601205761603,0.6778913914890369;3.0892258855312065,11.870930218034259,1.5936467804569117;14.30804713096986,11.97156670549289,0.6581756648309102;4.230849351789002,18.012786827873512,0.9822654498302802;9.152640480765337,3.1027442015302236,0.4830494154601048;5.440691434992257,14.439795011251816,0.2612751179809281;9.573743109627967,7.918749967450869,0.7084674487850532;4.446839071757499,10.159128983203274,2.0871317889370333;4.754392399601531,12.97807902225315,0.37826988124536665;13.600732840240074,18.172677083983082,0.4807531509510845;9.080124258378005,11.46473292302384,0.42628373864902386;8.519516195046258,1.2142139382727715,1.192623613753864;18.353617304799315,1.3886149115227426,0.6733696582930886;14.495509093721447,3.4288426969926187,0.3923541666684334;2.4074214808846945,1.8911243549028731,0.3327243807764811;6.672544227426243,9.078853853714781,1.294971729655987;8.458713444401518,2.4429469226473888,1.8624263009847906;14.416606201331474,11.223249102929739,1.711523835886382;5.864307149072975,11.756835831982963,1.224636822866291;9.546735832605755,7.787409024670817,2.1149883297296883"
53,drone_5,17.069,14.204,11.663,16.406,"15.010979901544484,17.461129148165714,0.7491346995294819;5.792148741403081,12.42512912225256,0.8263130464993873;11.353639685586343,10.994866109507027,0.27394668864733823;15.26600371321053,13.070601205761603,0.6778913914890369;3.0892258855312065,11.870930218034259,1.5936467804569117;14.30804713096986,11.97156670549289,0.6581756648309102;4.230849351789002,18.012786827873512,0.9822654498302802;9.152640480765337,3.1027442015302236,0.4830494154601048;5.440691434992257,14.439795011251816,0.2612751179809281;9.573743109627967,7.918749967450869,0.7084674487850532;4.446839071757499,10.159128983203274,2.0871317889370333;4.754392399601531,12.97807902225315,0.37826988124536665;13.600732840240074,18.172677083983082,0.4807531509510845;9.080124258378005,11.46473292302384,0.42628373864902386;8.519516195046258,1.2142139382727715,1.192623613753864;18.353617304799315,1.3886149115227426,0.6733696582930886;14.495509093721447,3.4288426969926187,0.3923541666684334;2.4074214808846945,1.8911243549028731,0.3327243807764811;6.672544227426243,9.078853853714781,1.294971729655987;8.458713444401518,2.4429469226473888,1.8624263009847906;14.416606201331474,11.223249102929739,1.711523835886382;5.864307149072975,11.756835831982963,1.224636822866291;9.546735832605755,7.787409024670817,2.1149883297296883"
53,drone_6,14.299,15.408,11.663,16.406,"15.010979901544484,17.461129148165714,0.7491346995294819;5.792148741403081,12.42512912225256,0.8263130464993873;11.353639685586343,10.994866109507027,0.27394668864733823;15.26600371321053,13.070601205761603,0.6778913914890369;3.0892258855312065,11.870930218034259,1.5936467804569117;14.30804713096986,11.97156670549289,0.6581756648309102;4.230849351789002,18.012786827873512,0.9822654498302802;9.152640480765337,3.1027442015302236,0.4830494154601048;5.440691434992257,14.439795011251816,0.2612751179809281;9.573743109627967,7.918749967450869,0.7084674487850532;4.446839071757499,10.159128983203274,2.0871317889370333;4.754392399601531,12.97807902225315,0.37826988124536665;13.600732840240074,18.172677083983082,0.4807531509510845;9.080124258378005,11.46473292302384,0.42628373864902386;8.519516195046258,1.2142139382727715,1.192623613753864;18.353617304799315,1.3886149115227426,0.6733696582930886;14.495509093721447,3.4288426969926187,0.3923541666684334;2.4074214808846945,1.8911243549028731,0.3327243807764811;6.672544227426243,9.078853853714781,1.294971729655987;8.458713444401518,2.4429469226473888,1.8624263009847906;14.416606201331474,11.223249102929739,1.711523835886382;5.864307149072975,11.756835831982963,1.224636822866291;9.546735832605755,7.787409024670817,2.1149883297296883"
53,drone_9,17.354,12.234,11.663,16.406,"15.010979901544484,17.461129148165714,0.7491346995294819;5.792148741403081,12.42512912225256,0.8263130464993873;11.353639685586343,10.994866109507027,0.27394668864733823;15.26600371321053,13.070601205761603,0.6778913914890369;3.0892258855312065,11.870930218034259,1.5936467804569117;14.30804713096986,11.97156670549289,0.6581756648309102;4.230849351789002,18.012786827873512,0.9822654498302802;9.152640480765337,3.1027442015302236,0.4830494154601048;5.440691434992257,14.439795011251816,0.2612751179809281;9.573743109627967,7.918749967450869,0.7084674487850532;4.446839071757499,10.159128983203274,2.0871317889370333;4.754392399601531,12.97807902225315,0.37826988124536665;13.600732840240074,18.172677083983082,0.4807531509510845;9.080124258378005,11.46473292302384,0.42628373864902386;8.519516195046258,1.2142139382727715,1.192623613753864;18.353617304799315,1.3886149115227426,0.6733696582930886;14.495509093721447,3.4288426969926187,0.3923541666684334;2.4074214808846945,1.8911243549028731,0.3327243807764811;6.672544227426243,9.078853853714781,1.294971729655987;8.458713444401518,2.4429469226473888,1.8624263009847906;14.416606201331474,11.223249102929739,1.711523835886382;5.864307149072975,11.756835831982963,1.224636822866291;9.546735832605755,7.787409024670817,2.1149883297296883"
54,drone_0,14.608,14.585,11.663,16.406,"15.010979901544484,17.461129148165714,0.7491346995294819;5.792148741403081,12.42512912225256,0.8263130464993873;11.353639685586343,10.994866109507027,0.27394668864733823;15.26600371321053,13.070601205761603,0.6778913914890369;3.0892258855312065,11.870930218034259,1.5936467804569117;14.30804713096986,11.97156670549289,0.6581756648309102;4.230849351789002,18.012786827873512,0.9822654498302802;9.152640480765337,3.1027442015302236,0.4830494154601048;5.440691434992257,14.439795011251816,0.2612751179809281;9.573743109627967,7.918749967450869,0.7084674487850532;4.446839071757499,10.159128983203274,2.0871317889370333;4.754392399601531,12.97807902225315,0.37826988124536665;13.600732840240074,18.172677083983082,0.4807531509510845;9.080124258378005,11.46473292302384,0.42628373864902386;8.519516195046258,1.2142139382727715,1.192623613753864;18.353617304799315,1.3886149115227426,0.6733696582930886;14.495509093721447,3.4288426969926187,0.3923541666684334;2.4074214808846945,1.8911243549028731,0.3327243807764811;6.672544227426243,9.078853853714781,1.294971729655987;8.458713444401518,2.4429469226473888,1.8624263009847906;14.416606201331474,11.223249102929739,1.711523835886382;5.864307149072975,11.756835831982963,1.224636822866291;9.546735832605755,7.787409024670817,2.1149883297296883"
54,drone_1,10.408,11.639,11.663,16.406,"15.010979901544484,17.461129148165714,0.7491346995294819;5.792148741403081,12.42512912225256,0.8263130464993873;11.353639685586343,10.994866109507027,0.27394668864733823;15.26600371321053,13.070601205761603,0.6778913914890369;3.0892258855312065,11.870930218034259,1.5936467804569117;14.30804713096986,11.97156670549289,0.6581756648309102;4.230849351789002,18.012786827873512,0.9822654498302802;9.152640480765337,3.1027442015302236,0.4830494154601048;5.440691434992257,14.439795011251816,0.2612751179809281;9.573743109627967,7.918749967450869,0.7084674487850532;4.446839071757499,10.159128983203274,2.0871317889370333;4.754392399601531,12.97807902225315,0.37826988124536665;13.600732840240074,18.172677083983082,0.4807531509510845;9.080124258378005,11.46473292302384,0.42628373864902386;8.519516195046258,1.2142139382727715,1.192623613753864;18.353617304799315,1.3886149115227426,0.6733696582930886;14.495509093721447,3.4288426969926187,0.3923541666684334;2.4074214808846945,1.8911243549028731,0.3327243807764811;6.672544227426243,9.078853853714781,1.294971729655987;8.458713444401518,2.4429469226473888,1.8624263009847906;14.416606201331474,11.223249102929739,1.711523835886382;5.864307149072975,11.756835831982963,1.224636822866291;9.546735832605755,7.787409024670817,2.1149883297296883"
54,drone_2,15.160,15.555,11.663,16.406,"15.010979901544484,17.461129148165714,0.7491346995294819;5.792148741403081,12.42512912225256,0.8263130464993873;11.353639685586343,10.994866109507027,0.27394668864733823;15.26600371321053,13.070601205761603,0.6778913914890369;3.0892258855312065,11.870930218034259,1.5936467804569117;14.30804713096986,11.97156670549289,0.6581756648309102;4.230849351789002,18.012786827873512,0.9822654498302802;9.152640480765337,3.1027442015302236,0.4830494154601048;5.440691434992257,14.439795011251816,0.2612751179809281;9.573743109627967,7.918749967450869,0.7084674487850532;4.446839071757499,10.159128983203274,2.0871317889370333;4.754392399601531,12.97807902225315,0.37826988124536665;13.600732840240074,18.172677083983082,0.4807531509510845;9.080124258378005,11.46473292302384,0.42628373864902386;8.519516195046258,1.2142139382727715,1.192623613753864;18.353617304799315,1.3886149115227426,0.6733696582930886;14.495509093721447,3.4288426969926187,0.3923541666684334;2.4074214808846945,1.8911243549028731,0.3327243807764811;6.672544227426243,9.078853853714781,1.294971729655987;8.458713444401518,2.4429469226473888,1.8624263009847906;14.416606201331474,11.223249102929739,1.711523835886382;5.864307149072975,11.756835831982963,1.224636822866291;9.546735832605755,7.787409024670817,2.1149883297296883"
54,drone_3,11.930,10.718,11.663,16.406,"15.010979901544484,17.461129148165714,0.7491346995294819;5.792148741403081,12.42512912225256,0.8263130464993873;11.353639685586343,10.994866109507027,0.27394668864733823;15.26600371321053,13.070601205761603,0.6778913914890369;3.0892258855312065,11.870930218034259,1.5936467804569117;14.30804713096986,11.97156670549289,0.6581756648309102;4.230849351789002,18.012786827873512,0.9822654498302802;9.152640480765337,3.1027442015302236,0.4830494154601048;5.440691434992257,14.439795011251816,0.2612751179809281;9.573743109627967,7.918749967450869,0.7084674487850532;4.446839071757499,10.159128983203274,2.0871317889370333;4.754392399601531,12.97807902225315,0.37826988124536665;13.600732840240074,18.172677083983082,0.4807531509510845;9.080124258378005,11.46473292302384,0.42628373864902386;8.519516195046258,1.2142139382727715,1.192623613753864;18.353617304799315,1.3886149115227426,0.6733696582930886;14.495509093721447,3.4288426969926187,0.3923541666684334;2.4074214808846945,1.8911243549028731,0.3327243807764811;6.672544227426243,9.078853853714781,1.294971729655987;8.458713444401518,2.4429469226473888,1.8624263009847906;14.416606201331474,11.223249102929739,1.711523835886382;5.864307149072975,11.756835831982963,1.224636822866291;9.546735832605755,7.787409024670817,2.1149883297296883"
